,PlayerName,,,,Games,Games,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Total Yds,Total Yds,Total Yds,,,-additional
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,-9999
1,DeMarco Murray*+,DAL,26,RB,16,16,64,57,416,7.3,0,17,54.7,34,3.6,26.0,89.1%,6.5,392,1845,13,89,53.1,51,4.7,115.3,24.5,449,5.0,2261,13,5,MurrDe00
2,Le'Veon Bell*+,PIT,22,RB,16,16,105,83,854,10.3,3,41,60.0,48,5.2,53.4,79.0%,8.1,290,1361,8,75,49.3,81,4.7,85.1,18.1,373,5.9,2215,11,,BellLe00
3,Matt Forte,CHI,29,RB,16,16,130,102,808,7.9,4,28,46.2,56,6.4,50.5,78.5%,6.2,266,1038,6,65,48.9,32,3.9,64.9,16.6,368,5.0,1846,10,2,FortMa00
4,Antonio Brown*+,PIT,26,WR,16,16,181,129,1698,13.2,13,87,60.2,63,8.1,106.1,71.3%,9.4,4,13,0,0,50.0,9,3.3,0.8,0.3,133,12.9,1711,13,2,BrowAn04
5,Marshawn Lynch*,SEA,28,RB,16,14,48,37,367,9.9,4,16,45.8,39,2.3,22.9,77.1%,7.6,280,1306,13,67,52.1,79,4.7,81.6,17.5,317,5.3,1673,17,3,LyncMa00
6,Demaryius Thomas*,DEN,27,WR,16,16,184,111,1619,14.6,11,69,50.5,86,6.9,101.2,60.3%,8.8,,,0,0,,,,,,111,14.6,1619,11,,ThomDe03
7,Julio Jones*,ATL,25,WR,15,15,163,104,1593,15.3,6,76,55.8,79,6.9,106.2,63.8%,9.8,1,1,0,1,0.0,1,1.0,0.1,0.1,105,15.2,1594,6,2,JoneJu02
8,Arian Foster*,HOU,28,RB,13,13,59,38,327,8.6,5,15,35.6,56,2.9,25.2,64.4%,5.5,260,1246,8,55,45.0,51,4.8,95.8,20.0,298,5.3,1573,13,2,FostAr00
9,Eddie Lacy,GNB,24,RB,16,16,55,42,427,10.2,4,18,52.7,67,2.6,26.7,76.4%,7.8,246,1139,9,60,45.9,44,4.6,71.2,15.4,288,5.4,1566,13,3,LacyEd00
10,Justin Forsett*,BAL,29,RB,16,14,59,44,263,6.0,0,10,39.0,26,2.8,16.4,74.6%,4.5,235,1266,8,57,42.6,52,5.4,79.1,14.7,279,5.5,1529,8,1,ForsJu00
11,Jordy Nelson*,GNB,29,WR,16,16,151,98,1519,15.5,13,71,58.9,80,6.1,94.9,64.9%,10.1,,,0,0,,,,,,98,15.5,1519,13,,NelsJo00
12,LeSean McCoy*,PHI,26,RB,16,16,37,28,155,5.5,0,10,43.2,18,1.8,9.7,75.7%,4.2,312,1319,5,68,44.6,53,4.2,82.4,19.5,340,4.3,1474,5,4,McCoLe01
13,Emmanuel Sanders*,DEN,27,WR,16,16,141,101,1404,13.9,9,69,63.8,48,6.3,87.8,71.6%,10.0,8,44,0,3,62.5,13,5.5,2.8,0.5,109,13.3,1448,9,1,SandEm00
14,Lamar Miller,MIA,23,RB,16,16,52,38,275,7.2,1,10,46.2,20,2.4,17.2,73.1%,5.3,216,1099,8,57,54.6,97,5.1,68.7,13.5,254,5.4,1374,9,3,MillLa01
15,T.Y. Hilton*,IND,25,WR,15,15,131,82,1345,16.4,7,64,56.5,73,5.5,89.7,62.6%,10.3,2,20,0,1,100.0,15,10.0,1.3,0.1,84,16.3,1365,7,3,HiltT.00
16,Golden Tate*,DET,26,WR,16,16,144,99,1331,13.4,4,61,54.2,73,6.2,83.2,68.8%,9.2,5,30,0,1,60.0,13,6.0,1.9,0.3,104,13.1,1361,4,1,TateGo00
17,Odell Beckham Jr.*,NYG,22,WR,12,11,130,91,1305,14.3,12,58,60.8,80,7.6,108.8,70.0%,10.0,7,35,0,2,57.1,13,5.0,2.9,0.6,98,13.7,1340,12,1,BeckOd00
18,Jeremy Hill,CIN,22,RB,16,8,32,27,215,8.0,0,7,46.9,38,1.7,13.4,84.4%,6.7,222,1124,9,61,52.3,85,5.1,70.3,13.9,249,5.4,1339,9,5,HillJe01
19,Jamaal Charles*,KAN,28,RB,15,15,59,40,291,7.3,5,16,37.3,30,2.7,19.4,67.8%,4.9,206,1033,9,51,52.9,63,5.0,68.9,13.7,246,5.4,1324,14,5,CharJa00
20,Randall Cobb*,GNB,24,WR,16,16,127,91,1287,14.1,12,71,63.0,70,5.7,80.4,71.7%,10.1,11,37,0,1,36.4,12,3.4,2.3,0.7,102,13.0,1324,12,3,CobbRa00
21,Dez Bryant*+,DAL,26,WR,16,16,136,88,1320,15.0,16,60,55.1,68,5.5,82.5,64.7%,9.7,,,0,0,,,,,,88,15.0,1320,16,,BryaDe01
22,Jeremy Maclin,PHI,26,WR,16,16,143,85,1318,15.5,10,56,52.4,72,5.3,82.4,59.4%,9.2,,,0,0,,,,,,85,15.5,1318,10,,MaclJe00
23,Alfred Morris*,WAS,26,RB,16,16,26,17,155,9.1,0,8,38.5,26,1.1,9.7,65.4%,6.0,265,1074,8,53,46.0,30,4.1,67.1,16.6,282,4.4,1229,8,2,MorrAl00
24,Frank Gore,SFO,31,RB,16,16,19,11,111,10.1,1,2,26.3,55,0.7,6.9,57.9%,5.8,255,1106,4,55,48.2,52,4.3,69.1,15.9,266,4.6,1217,5,2,GoreFr00
25,DeAndre Hopkins,HOU,22,WR,16,16,127,76,1210,15.9,6,57,53.5,76,4.8,75.6,59.8%,9.5,,,0,0,,,,,,76,15.9,1210,6,2,HopkDe00
26,Joique Bell,DET,28,RB,15,6,53,34,322,9.5,1,14,43.4,28,2.3,21.5,64.2%,6.1,223,860,7,45,43.5,57,3.9,57.3,14.9,257,4.6,1182,8,5,BellJo01
27,DeSean Jackson,WAS,28,WR,15,13,95,56,1169,20.9,6,37,49.5,81,3.7,77.9,58.9%,12.3,4,7,0,1,50.0,9,1.8,0.5,0.3,60,19.6,1176,6,,JackDe00
28,C.J. Anderson*,DEN,23,RB,15,7,44,34,324,9.5,2,14,54.5,51,2.3,21.6,77.3%,7.4,179,849,8,47,50.3,27,4.7,56.6,11.9,213,5.5,1173,10,1,AndeC.00
29,Alshon Jeffery,CHI,24,WR,16,16,145,85,1133,13.3,10,60,51.0,74,5.3,70.8,58.6%,7.8,6,33,0,2,66.7,12,5.5,2.1,0.4,91,12.8,1166,10,1,JeffAl00
30,Rob Gronkowski*+,NWE,25,TE,15,10,131,82,1124,13.7,12,60,55.7,46,5.5,74.9,62.6%,8.6,,,0,0,,,,,,82,13.7,1124,12,,GronRo00
31,Mark Ingram*,NOR,25,RB,13,9,36,29,145,5.0,0,5,38.9,14,2.2,11.2,80.6%,4.0,226,964,9,52,49.1,31,4.3,74.2,17.4,255,4.3,1109,9,3,IngrMa01
32,Calvin Johnson*,DET,29,WR,13,13,128,71,1077,15.2,8,59,53.9,67,5.5,82.8,55.5%,8.4,,,0,0,,,,,,71,15.2,1077,8,,JohnCa00
33,Anquan Boldin,SFO,34,WR,16,16,130,83,1062,12.8,5,56,56.2,76,5.2,66.4,63.8%,8.2,1,4,0,0,100.0,4,4.0,0.3,0.1,84,12.7,1066,5,,BoldAn00
34,Julian Edelman,NWE,28,WR,14,13,134,92,972,10.6,4,50,55.2,69,6.6,69.4,68.7%,7.3,10,94,0,7,100.0,25,9.4,6.7,0.7,102,10.5,1066,4,3,EdelJu00
35,Steve Smith Sr.,BAL,35,WR,16,16,134,79,1065,13.5,6,45,47.0,80,4.9,66.6,59.0%,7.9,,,0,0,,,,,,79,13.5,1065,6,2,SmitSt01
36,Andre Ellington,ARI,25,RB,12,12,64,46,395,8.6,2,19,40.6,81,3.8,32.9,71.9%,6.2,201,660,3,31,35.8,22,3.3,55.0,16.8,247,4.3,1055,5,2,ElliAn00
37,Mike Evans,TAM,21,WR,15,15,122,68,1051,15.5,12,46,46.7,56,4.5,70.1,55.7%,8.6,,,0,0,,,,,,68,15.5,1051,12,,EvanMi00
38,A.J. Green*,CIN,26,WR,13,13,117,69,1041,15.1,6,46,53.0,81,5.3,80.1,59.0%,8.9,2,2,0,0,50.0,5,1.0,0.2,0.2,71,14.7,1043,6,3,GreeA.00
39,Giovani Bernard,CIN,23,RB,13,9,59,43,349,8.1,2,14,37.3,46,3.3,26.8,72.9%,5.9,168,680,5,32,36.9,89,4.0,52.3,12.9,211,4.9,1029,7,,BernGi00
40,Fred Jackson,BUF,33,RB,14,9,90,66,501,7.6,1,26,46.7,34,4.7,35.8,73.3%,5.6,141,525,2,24,46.1,38,3.7,37.5,10.1,207,5.0,1026,3,5,JackFr02
41,Kelvin Benjamin,CAR,23,WR,16,15,145,73,1008,13.8,9,52,43.4,51,4.6,63.0,50.3%,7.0,,,0,0,,,,,,73,13.8,1008,9,1,BenjKe00
42,Greg Olsen*,CAR,29,TE,16,16,123,84,1008,12.0,6,55,61.0,38,5.3,63.0,68.3%,8.2,,,0,0,,,,,,84,12.0,1008,6,1,OlseGr00
43,Vincent Jackson,TAM,31,WR,16,16,142,70,1002,14.3,2,50,46.5,50,4.4,62.6,49.3%,7.1,,,0,0,,,,,,70,14.3,1002,2,1,JackVi00
44,Jonathan Stewart,CAR,27,RB,13,8,31,25,181,7.2,1,7,51.6,22,1.9,13.9,80.6%,5.8,175,809,3,42,49.7,69,4.6,62.2,13.5,200,5.0,990,4,2,StewJo00
45,Sammy Watkins,BUF,21,WR,16,16,128,65,982,15.1,6,48,46.9,84,4.1,61.4,50.8%,7.7,2,8,0,1,50.0,5,4.0,0.5,0.1,67,14.8,990,6,1,WatkSa00
46,Brandon LaFell,NWE,28,WR,16,13,119,74,953,12.9,7,50,52.9,56,4.6,59.6,62.2%,8.0,2,13,0,0,100.0,9,6.5,0.8,0.1,76,12.7,966,7,1,LaFeBr00
47,Eric Decker,NYJ,27,WR,15,15,115,74,962,13.0,5,47,53.9,74,4.9,64.1,64.3%,8.4,,,0,0,,,,,,74,13.0,962,5,,DeckEr00
48,Chris Ivory,NYJ,26,RB,16,10,27,18,123,6.8,1,4,40.7,23,1.1,7.7,66.7%,4.6,198,821,6,43,44.4,71,4.1,51.3,12.4,216,4.4,944,7,2,IvorCh00
49,Rueben Randle,NYG,23,WR,16,13,127,71,938,13.2,3,48,48.0,49,4.4,58.6,55.9%,7.4,,,0,0,,,,,,71,13.2,938,3,,RandRu00
50,Andre Johnson,HOU,33,WR,15,15,146,85,936,11.0,3,50,47.3,35,5.7,62.4,58.2%,6.4,,,0,0,,,,,,85,11.0,936,3,3,JohnAn02
51,Kenny Stills,NOR,22,WR,15,7,83,63,931,14.8,3,47,72.3,69,4.2,62.1,75.9%,11.2,1,-2,0,0,0.0,-2,-2.0,-0.1,0.1,64,14.5,929,3,1,StilKe00
52,Roddy White,ATL,33,WR,14,14,125,80,921,11.5,7,55,56.0,39,5.7,65.8,64.0%,7.4,,,0,0,,,,,,80,11.5,921,7,3,WhitRo00
53,Martellus Bennett*,CHI,27,TE,16,15,128,90,916,10.2,6,43,51.6,37,5.6,57.3,70.3%,7.2,,,0,0,,,,,,90,10.2,916,6,,BennMa00
54,Tre Mason,STL,21,RB,12,9,26,16,148,9.3,1,8,46.2,35,1.3,12.3,61.5%,5.7,179,765,4,38,40.8,89,4.3,63.8,14.9,195,4.7,913,5,2,MasoTr00
55,Marques Colston,NOR,31,WR,16,13,100,59,902,15.3,5,45,58.0,57,3.7,56.4,59.0%,9.0,,,0,0,,,,,,59,15.3,902,5,1,ColsMa00
56,Delanie Walker,TEN,30,TE,15,14,106,63,890,14.1,4,34,45.3,68,4.2,59.3,59.4%,8.4,,,0,0,,,,,,63,14.1,890,4,2,WalkHu00
57,Jimmy Graham*,NOR,28,TE,16,13,125,85,889,10.5,10,54,62.4,29,5.3,55.6,68.0%,7.1,,,0,0,,,,,,85,10.5,889,10,2,GrahJi00
58,Matt Asiata,MIN,27,RB,15,9,63,44,312,7.1,1,7,38.1,41,2.9,20.8,69.8%,5.0,164,570,9,34,51.2,19,3.5,38.0,10.9,208,4.2,882,10,1,AsiaMa00
59,Mike Wallace,MIA,28,WR,16,16,115,67,862,12.9,10,47,50.4,50,4.2,53.9,58.3%,7.5,4,16,0,1,50.0,12,4.0,1.0,0.3,71,12.4,878,10,2,WallMi00
60,Jordan Matthews,PHI,22,WR,16,10,103,67,872,13.0,8,43,52.4,44,4.2,54.5,65.0%,8.5,,,0,0,,,,,,67,13.0,872,8,,MattJo00
61,Russell Wilson*,SEA,26,QB,16,16,1,1,17,17.0,0,1,100.0,17,0.1,1.1,100.0%,17.0,118,849,6,47,54.2,55,7.2,53.1,7.4,119,7.3,866,6,11,WilsRu00
62,Rashad Jennings,NYG,29,RB,11,9,41,30,226,7.5,0,8,34.1,27,2.7,20.5,73.2%,5.5,167,639,4,39,47.3,18,3.8,58.1,15.2,197,4.4,865,4,1,JennRa00
63,Travis Kelce,KAN,25,TE,16,11,87,67,862,12.9,5,46,69.0,34,4.2,53.9,77.0%,9.9,,,0,0,,,,,,67,12.9,862,5,4,KelcTr00
64,Malcom Floyd,SDG,33,WR,16,16,92,52,856,16.5,6,39,50.0,59,3.3,53.5,56.5%,9.3,,,0,0,,,,,,52,16.5,856,6,,FloyMa00
65,Steven Jackson,ATL,31,RB,15,15,27,20,148,7.4,0,6,48.1,17,1.3,9.9,74.1%,5.5,190,707,6,38,50.0,55,3.7,47.1,12.7,210,4.1,855,6,,JackSt00
66,Branden Oliver,SDG,23,RB,14,7,45,36,271,7.5,1,11,46.7,50,2.6,19.4,80.0%,6.0,160,582,3,31,42.5,52,3.6,41.6,11.4,196,4.4,853,4,,OlivBr01
67,Andre Williams,NYG,22,RB,16,7,37,18,130,7.2,0,6,27.0,24,1.1,8.1,48.6%,3.5,217,721,7,32,35.0,50,3.3,45.1,13.6,235,3.6,851,7,1,WillAn00
68,Michael Floyd,ARI,25,WR,16,14,99,47,841,17.9,6,34,39.4,63,2.9,52.6,47.5%,8.5,1,2,0,0,0.0,2,2.0,0.1,0.1,48,17.6,843,6,3,FloyMi00
69,Mohamed Sanu,CIN,25,WR,16,13,98,56,790,14.1,5,38,49.0,76,3.5,49.4,57.1%,8.1,7,51,0,2,57.1,26,7.3,3.2,0.4,63,13.3,841,5,,SanuMo00
70,Andrew Hawkins,CLE,28,WR,15,15,112,63,824,13.1,2,44,46.4,65,4.2,54.9,56.3%,7.4,3,15,0,0,66.7,8,5.0,1.0,0.2,66,12.7,839,2,,HawkAn00
71,Shane Vereen,NWE,25,RB,16,6,77,52,447,8.6,3,24,41.6,49,3.3,27.9,67.5%,5.8,96,391,2,15,39.6,19,4.1,24.4,6.0,148,5.7,838,5,,VereSh00
72,Doug Baldwin,SEA,26,WR,16,16,98,66,825,12.5,3,43,51.0,49,4.1,51.6,67.3%,8.4,1,8,0,0,100.0,8,8.0,0.5,0.1,67,12.4,833,3,,BaldDo00
73,Antonio Gates,SDG,34,TE,16,14,98,69,821,11.9,12,44,66.3,34,4.3,51.3,70.4%,8.4,,,0,0,,,,,,69,11.9,821,12,1,GateAn00
74,Chris Johnson,NYJ,29,RB,16,6,34,24,151,6.3,1,9,38.2,26,1.5,9.4,70.6%,4.4,155,663,1,22,44.5,47,4.3,41.4,9.7,179,4.5,814,2,1,JohnCh04
75,Eddie Royal,SDG,28,WR,16,11,91,62,778,12.5,7,39,52.7,47,3.9,48.6,68.1%,8.5,3,14,0,1,33.3,15,4.7,0.9,0.2,65,12.2,792,7,1,RoyaEd00
76,Larry Fitzgerald,ARI,31,WR,14,13,103,63,784,12.4,2,39,49.5,80,4.5,56.0,61.2%,7.6,,,0,0,,,,,,63,12.4,784,2,1,FitzLa00
77,Keenan Allen,SDG,22,WR,14,14,121,77,783,10.2,4,41,49.6,35,5.5,55.9,63.6%,6.5,,,0,0,,,,,,77,10.2,783,4,2,AlleKe00
78,Reggie Wayne,IND,36,WR,15,15,116,64,779,12.2,2,40,45.7,80,4.3,51.9,55.2%,6.7,,,0,0,,,,,,64,12.2,779,2,1,WaynRe00
79,Coby Fleener,IND,26,TE,16,12,92,51,774,15.2,8,40,50.0,73,3.2,48.4,55.4%,8.4,,,0,0,,,,,,51,15.2,774,8,,FleeCo00
80,Kendall Wright,TEN,25,WR,14,11,93,57,715,12.5,6,32,44.1,48,4.1,51.1,61.3%,7.7,4,54,0,2,50.0,38,13.5,3.9,0.3,61,12.6,769,6,1,WrigKe01
81,Torrey Smith,BAL,25,WR,16,16,92,49,767,15.7,11,38,45.7,53,3.1,47.9,53.3%,8.3,,,0,0,,,,,,49,15.7,767,11,,SmitTo02
82,Kenny Britt,STL,26,WR,16,13,84,48,748,15.6,3,33,50.0,63,3.0,46.8,57.1%,8.9,2,14,0,1,50.0,12,7.0,0.9,0.1,50,15.2,762,3,,BritKe00
83,Heath Miller,PIT,32,TE,16,16,91,66,761,11.5,3,43,63.7,49,4.1,47.6,72.5%,8.4,,,0,0,,,,,,66,11.5,761,3,1,MillHe00
84,Dwayne Bowe,KAN,30,WR,15,15,95,60,754,12.6,0,42,56.8,37,4.0,50.3,63.2%,7.9,,,0,0,,,,,,60,12.6,754,0,2,BoweDw00
85,Jarvis Landry,MIA,22,WR,16,11,112,84,758,9.0,5,50,52.7,25,5.3,47.4,75.0%,6.8,2,-4,0,0,50.0,4,-2.0,-0.3,0.1,86,8.8,754,5,7,LandJa00
86,Pierre Garcon,WAS,28,WR,16,14,105,68,752,11.1,3,33,45.7,70,4.3,47.0,64.8%,7.2,,,0,0,,,,,,68,11.1,752,3,,GarcPi00
87,Trent Richardson,IND,24,RB,15,12,34,27,229,8.5,0,9,50.0,24,1.8,15.3,79.4%,6.7,159,519,3,27,40.3,27,3.3,34.6,10.6,186,4.0,748,3,2,RichTr00
88,Darren McFadden,OAK,27,RB,16,12,56,36,212,5.9,0,8,33.9,23,2.3,13.3,64.3%,3.8,155,534,2,21,40.6,25,3.4,33.4,9.7,191,3.9,746,2,1,McFaDa00
89,Greg Jennings,MIN,31,WR,16,13,92,59,742,12.6,6,40,52.2,38,3.7,46.4,64.1%,8.1,,,0,0,,,,,,59,12.6,742,6,1,JennGr00
90,Terrance West,CLE,23,RB,14,6,13,11,64,5.8,1,3,38.5,11,0.8,4.6,84.6%,4.9,171,673,4,31,46.2,36,3.9,48.1,12.2,182,4.0,737,5,2,WestTe00
91,Ahmad Bradshaw,IND,28,RB,10,1,47,38,300,7.9,6,20,61.7,22,3.8,30.0,80.9%,6.4,90,425,2,18,53.3,29,4.7,42.5,9.0,128,5.7,725,8,3,BradAh00
92,Brandon Marshall,CHI,30,WR,13,13,106,61,721,11.8,8,41,50.9,47,4.7,55.5,57.5%,6.8,,,0,0,,,,,,61,11.8,721,8,1,MarsBr00
93,Bobby Rainey,TAM,27,RB,15,5,45,33,315,9.5,1,13,46.7,34,2.2,21.0,73.3%,7.0,94,406,1,21,43.6,31,4.3,27.1,6.3,127,5.7,721,2,3,RainBo00
94,Darren Sproles*,PHI,31,RB,15,0,62,40,387,9.7,0,18,41.9,57,2.7,25.8,64.5%,6.2,57,329,6,18,43.9,49,5.8,21.9,3.8,97,7.4,716,6,4,SproDa00
95,Denard Robinson,JAX,24,RB,13,9,31,23,124,5.4,0,7,32.3,19,1.8,9.5,74.2%,4.0,135,582,4,24,38.5,41,4.3,44.8,10.4,158,4.5,706,4,2,RobiDe00
96,Jason Witten*,DAL,32,TE,16,16,90,64,703,11.0,5,48,58.9,34,4.0,43.9,71.1%,7.8,,,0,0,,,,,,64,11.0,703,5,,WittJa00
97,Michael Crabtree,SFO,27,WR,16,16,108,68,698,10.3,4,35,44.4,51,4.3,43.6,63.0%,6.5,1,4,0,0,100.0,4,4.0,0.3,0.1,69,10.2,702,4,,CrabMi00
98,Zach Ertz,PHI,24,TE,16,5,89,58,702,12.1,3,42,58.4,35,3.6,43.9,65.2%,7.9,,,0,0,,,,,,58,12.1,702,3,1,ErtzZa00
99,Bishop Sankey,TEN,22,RB,16,9,23,18,133,7.4,0,5,47.8,18,1.1,8.3,78.3%,5.8,152,569,2,26,44.1,22,3.7,35.6,9.5,170,4.1,702,2,2,SankBi00
100,Robert Woods,BUF,22,WR,16,15,104,65,699,10.8,5,35,47.1,37,4.1,43.7,62.5%,6.7,,,0,0,,,,,,65,10.8,699,5,1,WoodRo02
101,Isaiah Crowell,CLE,21,RB,16,4,14,9,87,9.7,0,4,50.0,19,0.6,5.4,64.3%,6.2,148,607,8,35,42.6,35,4.1,37.9,9.3,157,4.4,694,8,3,CrowIs00
102,Roy Helu,WAS,26,RB,14,0,47,42,477,11.4,2,16,46.8,55,3.0,34.1,89.4%,10.1,40,216,1,10,55.0,18,5.4,15.4,2.9,82,8.5,693,3,2,HeluRo00
103,Andre Holmes,OAK,26,WR,16,13,99,47,693,14.7,4,32,41.4,77,2.9,43.3,47.5%,7.0,,,0,0,,,,,,47,14.7,693,4,,HolmAn00
104,John Brown,ARI,24,WR,16,5,102,48,696,14.5,5,31,36.3,75,3.0,43.5,47.1%,6.8,3,-6,0,0,0.0,2,-2.0,-0.4,0.2,51,13.5,690,5,,BrowJo02
105,Percy Harvin,2TM,26,WR,13,12,78,51,483,9.5,1,46,48.7,45,3.9,37.2,65.4%,6.2,33,202,1,24,60.6,51,6.1,15.5,2.5,84,8.2,685,2,3,HarvPe00
106,Allen Hurns,JAX,23,WR,16,8,97,51,677,13.3,6,26,38.1,63,3.2,42.3,52.6%,7.0,,,0,0,,,,,,51,13.3,677,6,,HurnAl01
107,Jerick McKinnon,MIN,22,RB,11,6,41,27,135,5.0,0,7,24.4,17,2.5,12.3,65.9%,3.3,113,538,0,24,40.7,55,4.8,48.9,10.3,140,4.8,673,0,,McKiJe00
108,James Jones,OAK,30,WR,16,10,112,73,666,9.1,6,40,42.9,42,4.6,41.6,65.2%,5.9,,,0,0,,,,,,73,9.1,666,6,3,JoneJa04
109,Markus Wheaton,PIT,23,WR,16,11,86,53,644,12.2,2,34,52.3,47,3.3,40.3,61.6%,7.5,4,19,0,1,75.0,12,4.8,1.2,0.3,57,11.6,663,2,,WheaMa00
110,Jarius Wright,MIN,25,WR,16,7,62,42,588,14.0,2,25,51.6,87,2.6,36.8,67.7%,9.5,5,71,0,3,80.0,27,14.2,4.4,0.3,47,14.0,659,2,,WrigJa02
111,Nate Washington,TEN,31,WR,16,11,72,40,647,16.2,2,26,52.8,80,2.5,40.4,55.6%,9.0,,,0,0,,,,,,40,16.2,647,2,,WashNa00
112,Alfred Blue,HOU,23,RB,16,3,18,15,113,7.5,1,7,66.7,22,0.9,7.1,83.3%,6.3,169,528,2,29,39.6,46,3.1,33.0,10.6,184,3.5,641,3,,BlueAl00
113,Colin Kaepernick,SFO,27,QB,16,16,,,,,0,0,,,,,,,104,639,1,28,46.2,90,6.1,39.9,6.5,104,6.1,639,1,8,KaepCo00
114,Jared Cook,STL,27,TE,16,6,99,52,634,12.2,3,32,45.5,59,3.3,39.6,52.5%,6.4,1,0,0,0,0.0,0,0.0,0.0,0.1,53,12.0,634,3,,CookJa02
115,Taylor Gabriel,CLE,23,WR,16,2,72,36,621,17.3,1,26,40.3,70,2.3,38.8,50.0%,8.6,4,10,0,0,25.0,8,2.5,0.6,0.3,40,15.8,631,1,,GabrTa00
116,Brandin Cooks,NOR,21,WR,10,7,69,53,550,10.4,3,25,58.0,50,5.3,55.0,76.8%,8.0,7,73,1,4,85.7,28,10.4,7.3,0.7,60,10.4,623,4,1,CookBr00
